Elapsed time,Direct_1,Abdomen_1,Abdomen_2,Abdomen_3,Abdomen_4,EDF Annotations
0.042,43.901,2,-17.8,-14.1,-25,0.72
0.043,44.201,2.9,-17,-12.2,-24.2,0.72
0.044,46.201,4.1,-16.2,-10.3,-23.6,0.72
0.045,48.901,4.7,-15.8,-8.9,-23.3,0.72
0.046,50.701,4.5,-15.7,-8.3,-23.2,0.72
0.047,50.101,3.5,-15.7,-8.3,-22.8,0.72
0.048,46.901,2.3,-15.7,-8.6,-21.9,0.72
0.049,42.301,1.4,-15.5,-8.8,-20.6,0.72
0.05,38.501,1,-15.1,-8.6,-19,0.579
0.051,37.101,1.1,-14.6,-8,-17.3,0.579
0.052,38.401,1.3,-14.2,-7.1,-15.8,0.579
0.053,41.401,1.3,-13.7,-5.9,-14.3,0.579
0.054,44.201,1,-12.9,-4.7,-12.7,0.579
0.055,45.301,0.7,-11.8,-3.3,-11,0.579
0.056,44.301,0.5,-10.4,-2.1,-9.5,0.579
0.057,41.901,0.6,-9.1,-1,-8.5,0.579
0.058,39.401,0.7,-8.3,-0.2,-8.2,0.579
0.059,37.701,0.7,-8.2,0.3,-8.2,0.579
0.06,37.101,0.4,-8.7,0.5,-8.3,0.822
0.061,37.301,-0.1,-9.4,0.6,-7.8,0.822
0.062,38.001,-0.7,-9.8,0.7,-6.9,0.822
0.063,38.901,-0.9,-9.6,1,-5.9,0.822
0.064,40.001,-0.5,-8.8,1.4,-5.3,0.822
0.065,40.701,0.1,-8,2,-5.5,0.822
0.066,40.401,0.8,-7.5,2.7,-6.5,0.822
0.067,38.601,1.1,-7.6,3.2,-7.6,0.822
0.068,35.601,1,-8.2,3.5,-8.3,0.822
0.069,32.3,0.6,-8.7,3.4,-8.1,0.822
0.07,30.1,0.4,-8.7,3,-7.3,0.579
0.071,30.1,0.8,-8,2.2,-6.3,0.579
0.072,32,1.8,-6.8,1.4,-5.8,0.579
0.073,34.701,3,-5.5,0.6,-6.1,0.579
0.074,36.401,3.9,-4.4,0.1,-7,0.579
0.075,36.201,4.2,-3.8,-0.3,-7.9,0.579
0.076,34.101,3.6,-3.4,-0.5,-8.4,0.579
0.077,31.4,2.6,-3.2,-0.5,-8.3,0.579
0.078,29.6,1.5,-2.9,-0.4,-7.9,0.579
0.079,29.9,0.7,-2.8,-0.1,-7.4,0.579
0.08,32.3,0.3,-3,0.3,-7,0.668
0.081,35.901,0.2,-3.7,0.9,-6.8,0.668
0.082,39.301,0.3,-4.6,1.4,-6.6,0.668
0.083,41.401,0.4,-5.5,1.6,-6.3,0.668
0.084,41.501,0.4,-5.8,1.4,-6.1,0.668
0.085,39.801,0.3,-5.6,1,-6.1,0.668
0.086,37.101,-0.1,-4.9,0.5,-6.4,0.668
0.087,34.401,-0.9,-4.2,0.2,-6.9,0.668
0.088,32.6,-1.8,-3.7,0.3,-7.1,0.668
0.089,32.3,-2.5,-3.5,0.7,-6.8,0.668
0.09,33.501,-2.5,-3.5,1.3,-6.2,0.68
0.091,35.501,-1.6,-3.6,1.7,-5.5,0.68
0.092,37.201,0,-3.8,1.8,-5.2,0.68
0.093,38.001,1.5,-4.1,1.4,-5.3,0.68
0.094,37.501,2.3,-4.5,0.8,-5.8,0.68
0.095,36.301,2.3,-5,0.3,-6.2,0.68
0.096,35.201,1.4,-5.2,-0.1,-6.2,0.68
0.097,34.801,0.3,-4.8,-0.2,-5.9,0.68
0.098,35.301,-0.4,-3.9,0,-5.4,0.68
0.099,36.101,-0.7,-2.8,0.2,-5.1,0.68
0.1,36.401,-0.6,-2.1,0.5,-5.1,0.708
0.101,35.601,-0.4,-2.1,0.9,-5.3,0.708
0.102,33.901,-0.3,-2.9,1.4,-5.3,0.708
0.103,32.1,-0.5,-4,2,-5,0.708
0.104,31.4,-0.7,-5,2.7,-4.3,0.708
0.105,32.2,-0.8,-5.4,3.2,-3.7,0.708
0.106,34.201,-0.8,-5.4,3.5,-3.5,0.708
0.107,36.001,-0.6,-5.2,3.3,-3.8,0.708
0.108,36.701,-0.3,-5.4,2.8,-4.6,0.708
0.109,35.501,-0.2,-6.1,2.2,-5.6,0.708
0.11,33.101,-0.1,-7,1.5,-6.2,0.579
0.111,30.4,-0.1,-7.9,1.1,-6.3,0.579
0.112,28.8,0,-8.4,0.8,-5.8,0.579
0.113,28.8,0.1,-8.3,0.8,-4.8,0.579
0.114,30.7,0.3,-7.7,0.8,-3.7,0.579
0.115,33.801,0.5,-6.9,0.8,-2.9,0.579
0.116,37.301,0.8,-6,0.8,-2.4,0.579
0.117,40.401,1.3,-5.3,0.8,-2.3,0.579
0.118,42.101,1.7,-4.7,1,-2.4,0.579
0.119,41.801,2,-4.2,1.2,-2.3,0.579
0.12,39.301,2.2,-3.7,1.6,-1.8,0.822
0.121,35.301,2.2,-3.1,2.1,-0.8,0.822
0.122,31.1,2.2,-2.4,2.6,0.3,0.822
0.123,28.2,2.4,-1.6,3,1.3,0.822
0.124,27.4,2.8,-0.7,3.2,1.6,0.822
0.125,28.4,3.5,0.1,3.2,1.3,0.822
0.126,30.2,4.2,0.6,3,0.5,0.822
0.127,31.4,4.5,0.4,2.7,-0.2,0.822
0.128,31.6,4.5,-0.3,2.4,-0.6,0.822
0.129,31.1,4.3,-1.2,2.5,-0.3,0.822
0.13,31.2,4.2,-2,2.8,0.3,0.579
0.131,32.801,4.6,-2.3,3.4,1,0.579
0.132,35.801,5.4,-2.1,4,1.5,0.579
0.133,39.101,6.3,-1.7,4.2,1.6,0.579
0.134,41.301,6.6,-1.5,3.9,1.3,0.579
0.135,41.701,5.9,-1.8,3.4,0.8,0.579
0.136,40.701,4.2,-2.7,2.9,0.2,0.579
0.137,39.301,2.3,-4,2.8,-0.1,0.579
0.138,38.801,0.7,-5.2,3.2,-0.3,0.579
0.139,39.301,0,-6.2,4,-0.1,0.579
0.14,40.101,0.2,-6.9,4.9,0.1,0.668
0.141,40.001,0.7,-7.3,5.3,0.4,0.668
0.142,38.001,0.6,-7.6,5,0.6,0.668
0.143,34.601,-0.2,-7.9,4,0.7,0.668
0.144,30.9,-1.7,-8.1,2.9,0.7,0.668
0.145,28.8,-3.1,-8.3,1.8,0.5,0.668
0.146,29.4,-4,-8.4,1.3,0.4,0.668
0.147,32.6,-4,-8.4,1.1,0.3,0.668
0.148,37.001,-3.6,-8.4,1.2,0.3,0.668
0.149,40.501,-3.2,-8.3,1.3,0.4,0.668
0.15,41.701,-3.3,-8.2,1.3,0.8,0.68
0.151,40.301,-3.9,-7.9,1.2,1.1,0.68
0.152,37.401,-4.6,-7.5,1.3,1.2,0.68
0.153,34.801,-5.1,-7.3,1.4,1.1,0.68
0.154,34.001,-5.4,-7.2,1.6,0.5,0.68
0.155,35.401,-5.6,-7.3,1.5,-0.3,0.68
0.156,38.101,-5.9,-7.6,1.1,-1,0.68
0.157,41.001,-6.4,-7.8,0.5,-1.4,0.68
0.158,42.701,-7.1,-7.9,0,-1.3,0.68
0.159,42.801,-7.6,-8,-0.2,-1.1,0.68
0.16,41.601,-7.9,-8.3,-0.1,-1,0.692
0.161,39.601,-8.1,-9.1,0.1,-1.3,0.692
0.162,37.501,-8.6,-10.4,0.2,-1.9,0.692
0.163,35.801,-9.3,-12,0.3,-2.5,0.692
0.164,34.901,-10.1,-13.3,0.5,-2.3,0.692
0.165,34.801,-10.6,-13.9,1.1,-1.2,0.692
0.166,35.801,-10.5,-13.4,2.4,0.8,0.692
0.167,37.801,-9.6,-12.2,4,3,0.692
0.168,40.401,-8.5,-10.6,5.6,4.9,0.692
0.169,43.501,-7.4,-9,6.8,6.2,0.692
0.17,46.601,-6.7,-7.7,7.5,7.2,0.579
0.171,49.801,-6.3,-6.5,7.9,8.2,0.579
0.172,53.601,-5.9,-5,8.3,9.9,0.579
0.173,58.301,-5,-3,9.1,12.5,0.579
0.174,64.401,-3.5,-0.2,10.5,16.3,0.579
0.175,72.001,-1.4,3.2,12.6,21.1,0.579
0.176,80.801,1.2,6.9,15.2,26.6,0.579
0.177,90.501,4,10.6,18.2,32.3,0.579
0.178,100.302,6.9,13.8,21.2,37.601,0.579
0.179,109.502,9.6,16.1,23.7,41.301,0.579
0.18,116.902,11.8,17.2,25,42.901,0.822
0.181,121.402,12.9,16.7,24.8,41.801,0.822
0.182,122.202,12.6,15,23,38.401,0.822
0.183,119.102,10.8,12.3,20,33.701,0.822
0.184,112.502,8.1,9.5,16.6,28.6,0.822
0.185,103.502,5.1,6.8,13.4,23.8,0.822
0.186,93.201,2.1,4.5,10.7,19.3,0.822
0.187,82.201,-0.5,2,8.3,14.9,0.822
0.188,70.601,-3.1,-1.2,5.8,10.1,0.822
0.189,57.701,-5.9,-5.4,3,4.7,0.822
0.19,43.501,-9.1,-10.5,-0.1,-0.7,0.579
0.191,28.2,-12.3,-15.4,-3,-5.5,0.579
0.192,13.2,-15.1,-19.2,-5.1,-8.7,0.579
0.193,0.3,-17,-21.1,-6,-10.1,0.579
0.194,-8.5,-17.7,-21,-5.8,-9.8,0.579
0.195,-12.6,-17.4,-19.3,-4.8,-8.4,0.579
0.196,-12.1,-16.5,-17,-3.6,-6.6,0.579
0.197,-8.7,-15.6,-14.9,-2.6,-5.1,0.579
0.198,-4.4,-14.9,-13.5,-2,-3.9,0.579
0.199,-0.9,-14.8,-12.6,-1.6,-2.8,0.579
0.2,1.5,-14.8,-12,-1.2,-1.4,0.668
0.201,3.3,-14.7,-11.1,-0.3,0.5,0.668
0.202,6,-14.1,-10,1.2,2.7,0.668
0.203,10.6,-12.9,-8.6,3.2,4.7,0.668
0.204,17.1,-11.3,-7.3,5.2,6.3,0.668
0.205,24.3,-9.9,-6.4,6.8,7.2,0.668
0.206,30.6,-9.1,-5.9,7.5,7.6,0.668
0.207,34.401,-9.2,-5.7,7.4,7.7,0.668
0.208,35.501,-10,-5.4,6.5,8,0.668
0.209,34.901,-11.1,-4.8,5.3,8.2,0.668
0.21,34.201,-12,-3.8,4,8.3,0.68
0.211,34.801,-12.7,-2.6,3.1,8,0.68
0.212,36.601,-13.3,-1.9,2.8,7.3,0.68
0.213,38.801,-14,-1.8,2.9,6.7,0.68
0.214,39.901,-15,-2.5,3.5,6.5,0.68
0.215,39.001,-16.2,-3.7,4.2,7,0.68
0.216,36.701,-17.2,-4.8,4.8,8.1,0.68
0.217,34.401,-17.8,-5.4,5.1,9.3,0.68
0.218,33.801,-17.9,-5.4,5.1,10.2,0.68
0.219,35.701,-17.7,-4.9,4.8,10.6,0.68
0.22,39.301,-17.5,-4.3,4.6,10.6,0.72
0.221,42.901,-17.4,-4.2,4.7,10.8,0.72
0.222,45.001,-17.4,-4.4,5.3,11.5,0.72
0.223,44.701,-17.3,-4.7,6.3,12.5,0.72
0.224,42.601,-16.8,-4.7,7.2,13.6,0.72
0.225,39.901,-16,-4.2,7.9,14.5,0.72
0.226,37.901,-15.1,-3.1,8.1,14.9,0.72
0.227,37.001,-14.3,-1.8,8.1,14.9,0.72
0.228,37.001,-13.7,-0.6,8,14.8,0.72
0.229,37.501,-13.1,0.3,8,14.9,0.72
0.23,37.901,-12.4,0.8,7.9,15.3,0.579
0.231,38.501,-11.5,0.9,7.9,15.6,0.579
0.232,39.501,-10.5,0.7,7.7,15.6,0.579
0.233,40.901,-9.8,0.4,7.4,15.4,0.579
0.234,42.301,-9.9,0,6.9,14.9,0.579
0.235,43.401,-10.9,-0.6,6.4,14.5,0.579
0.236,43.501,-12.5,-1.2,6,14.4,0.579
0.237,42.701,-14.2,-1.8,5.9,14.5,0.579
0.238,41.201,-15.6,-2.6,6.1,14.7,0.579
0.239,39.701,-16.3,-3.4,6.4,14.8,0.579
0.24,38.601,-16.7,-4.1,6.6,14.6,0.822
0.241,38.301,-17,-4.7,6.6,14,0.822
0.242,38.801,-17.6,-5,6.3,13.1,0.822
0.243,39.801,-18.6,-5.1,5.5,12.1,0.822
0.244,41.101,-19.8,-5,4.6,11.2,0.822
0.245,42.101,-20.6,-4.8,3.8,10.7,0.822
0.246,42.601,-21,-4.5,3.3,10.5,0.822
0.247,42.401,-20.8,-4.2,3.3,10.7,0.822
0.248,41.501,-20.2,-3.8,3.7,11,0.822
0.249,40.401,-19.5,-3.5,4.3,11.2,0.822
0.25,39.701,-19.1,-3.1,4.9,11.2,0.579
0.251,39.501,-19,-3,5.3,11,0.579
0.252,39.801,-19.1,-3,5.4,10.6,0.579
0.253,40.001,-19.3,-2.9,5.3,10.3,0.579
0.254,39.501,-19.6,-2.7,5.1,10.2,0.579
0.255,38.201,-19.8,-2.3,4.8,10.3,0.579
0.256,36.401,-19.9,-1.7,4.4,10.5,0.579
0.257,35.301,-19.9,-1.2,4,10.8,0.579
0.258,35.801,-19.8,-1.1,3.9,11.1,0.579
0.259,38.001,-19.5,-1.4,4.3,11.4,0.579
0.26,41.201,-18.9,-2,5.1,11.8,0.668
0.261,43.901,-17.9,-2.3,6.4,12.2,0.668
0.262,44.701,-16.8,-2.1,7.7,12.7,0.668
0.263,43.301,-15.6,-1.3,8.7,13.2,0.668
0.264,40.501,-14.6,-0.2,9.1,13.4,0.668
0.265,38.001,-13.8,1,9,13.3,0.668
0.266,37.301,-13.3,1.7,8.5,12.8,0.668
0.267,38.701,-12.9,1.9,8.2,12.1,0.668
0.268,41.501,-12.2,1.6,8.3,11.5,0.668
0.269,43.901,-11.3,1.2,8.8,11.3,0.668
0.27,44.601,-10.1,0.8,9.4,11.4,0.68
0.271,43.001,-8.9,0.6,9.8,11.8,0.68
0.272,40.101,-8.2,0.4,9.9,11.9,0.68
0.273,37.201,-8,0.2,9.5,11.6,0.68
0.274,35.701,-8.2,-0.2,9.1,10.9,0.68
0.275,36.001,-8.3,-0.7,8.8,10.1,0.68
0.276,37.701,-7.8,-1,9,9.4,0.68
0.277,40.101,-6.5,-0.9,9.6,9.2,0.68
0.278,41.901,-4.5,-0.4,10.4,9.5,0.68
0.279,42.701,-2.3,0.4,11.4,9.9,0.68
0.28,42.401,-0.5,1,12.2,10.2,0.704
0.281,41.201,0.5,1.1,12.8,10.2,0.704
0.282,39.401,0.8,0.6,13,9.9,0.704
0.283,37.501,0.9,-0.3,12.8,9.5,0.704
0.284,35.701,1,-1.2,12.3,9.1,0.704
0.285,34.401,1.5,-1.8,11.5,8.8,0.704
0.286,34.001,2.2,-1.9,10.7,8.5,0.704
0.287,34.301,2.7,-1.7,9.8,8.2,0.704
0.288,35.401,2.8,-1.4,9,7.9,0.704
0.289,36.701,2.4,-1.5,8.2,7.6,0.704
0.29,37.701,1.9,-1.9,7.5,7.3,0.579
0.291,38.101,1.5,-2.3,7,7.1,0.579
0.292,37.901,1.5,-2.5,6.9,6.7,0.579
0.293,37.901,2.1,-2.6,7.3,6.2,0.579
0.294,38.401,3.1,-2.5,8.1,5.4,0.579
0.295,39.901,4.3,-2.7,9.1,4.6,0.579
0.296,41.901,5.5,-3.1,10.1,3.8,0.579
0.297,43.601,6.6,-3.7,10.8,3.3,0.579
0.298,44.001,7.4,-4.2,11,3,0.579
0.299,42.901,7.8,-4.4,10.8,3.1,0.579
0.3,40.701,7.9,-4.3,10.3,3.4,0.822
0.301,38.601,7.8,-3.9,9.6,3.5,0.822
0.302,37.601,7.5,-3.6,8.8,3.2,0.822
0.303,38.201,7.1,-3.5,7.9,2.5,0.822
0.304,39.501,6.6,-3.4,7.2,1.4,0.822
0.305,40.701,6,-3.3,6.7,0.4,0.822
0.306,40.801,5.3,-3,6.5,-0.2,0.822
0.307,39.901,4.7,-2.5,6.6,-0.4,0.822
0.308,39.001,4.1,-2.1,6.8,-0.4,0.822
0.309,39.101,3.9,-2.1,7.1,-0.6,0.822
0.31,40.301,4,-2.4,7.3,-1.2,0.579
0.311,42.101,4.3,-3,7.3,-2.2,0.579
0.312,43.201,4.6,-3.6,7.2,-3.1,0.579
0.313,42.901,4.8,-3.6,7.1,-3.3,0.579
0.314,41.401,4.8,-3,6.8,-2.8,0.579
0.315,40.101,4.9,-1.9,6.4,-1.8,0.579
0.316,40.501,5.3,-0.9,5.9,-1,0.579
0.317,43.101,5.7,-0.3,5.2,-0.9,0.579
0.318,47.001,6.1,-0.3,4.6,-1.4,0.579
0.319,50.401,6.2,-0.9,4.2,-2.1,0.579
0.32,51.701,6,-1.6,4,-2.4,0.668
0.321,50.201,5.8,-2,4,-2.1,0.668
0.322,47.201,5.6,-2,4,-1.1,0.668
0.323,44.601,5.8,-1.6,3.9,0,0.668
0.324,43.901,6.3,-1.1,3.7,0.9,0.668
0.325,45.401,6.7,-0.7,3.4,1.3,0.668
0.326,47.901,7,-0.6,3.1,1.3,0.668
0.327,49.701,7.1,-0.6,2.9,1.3,0.668
0.328,49.301,7,-0.6,2.9,1.3,0.668
0.329,46.901,7.2,-0.6,3.2,1.5,0.668
0.33,43.501,7.7,-0.5,3.5,1.8,0.68
0.331,41.201,8.6,-0.4,4.1,2,0.68
0.332,40.901,9.8,-0.3,4.6,1.9,0.68
0.333,42.901,11,0.1,5.1,1.7,0.68
0.334,45.901,11.9,0.6,5.2,1.3,0.68
0.335,48.401,12.4,1.5,5.1,0.8,0.68
0.336,49.501,12.4,2.4,4.6,0.4,0.68
0.337,49.101,12,3.2,4,0.3,0.68
0.338,48.001,11.3,3.7,3.5,0.4,0.68
0.339,47.201,10.5,3.8,3.3,0.5,0.68
0.34,47.501,9.7,3.5,3.2,0.2,0.692
0.341,48.901,9.1,2.8,3.1,-0.7,0.692
0.342,50.801,8.5,1.6,2.8,-2.1,0.692
0.343,52.401,7.8,-0.3,2.3,-3.7,0.692
0.344,52.901,6.9,-2.7,1.8,-4.9,0.692
0.345,52.001,6,-5.2,1.5,-5,0.692
0.346,50.101,5.4,-7.3,1.5,-4.2,0.692
0.347,47.501,5.3,-8.4,1.7,-2.8,0.692
0.348,45.401,5.8,-8.4,1.9,-1.7,0.692
0.349,44.501,6.6,-7.5,1.7,-1.4,0.692
0.35,45.301,7.3,-6.4,1,-2,0.579
0.351,47.701,7.6,-5.9,-0.2,-3.2,0.579
0.352,50.401,7.3,-6.3,-1.4,-4.3,0.579
0.353,52.301,6.6,-7.5,-2.1,-4.8,0.579
0.354,52.201,6,-9.1,-2.2,-4.7,0.579
0.355,50.301,5.7,-10.7,-1.6,-4.2,0.579
0.356,47.501,5.8,-11.8,-0.7,-3.9,0.579
0.357,45.301,6.1,-12.5,0,-4.1,0.579
0.358,44.701,6,-12.8,0.4,-4.7,0.579
0.359,45.901,5.3,-13,0.2,-5.5,0.579
0.36,47.701,4.1,-12.9,-0.2,-6,0.822
0.361,49.101,2.8,-12.8,-0.5,-6.1,0.822
0.362,49.001,1.9,-12.4,-0.5,-5.8,0.822
0.363,47.401,1.7,-11.8,-0.1,-5.5,0.822
0.364,45.401,2,-11.1,0.4,-5.4,0.822
0.365,43.901,2.5,-10.5,1,-5.5,0.822
0.366,43.901,2.8,-9.9,1.3,-5.7,0.822
0.367,45.601,3,-9.4,1.5,-5.7,0.822
0.368,48.401,3,-8.8,1.7,-5.5,0.822
0.369,51.001,3.2,-8.2,1.8,-5.1,0.822
0.37,52.301,3.6,-7.8,1.8,-4.7,0.579
0.371,51.701,4,-7.9,1.7,-4.5,0.579
0.372,49.601,4.1,-8.4,1.5,-4.5,0.579
0.373,47.301,3.8,-9.4,1.2,-4.8,0.579
0.374,46.101,3.3,-10.4,1,-5.4,0.579
0.375,46.501,2.9,-11.3,0.8,-6.2,0.579
0.376,48.001,3,-11.7,0.8,-7.1,0.579
0.377,49.201,3.5,-11.7,0.8,-7.9,0.579
0.378,48.901,4.4,-11.4,0.9,-8.2,0.579
0.379,47.201,5.2,-10.8,1.2,-8.2,0.579
0.38,45.701,5.9,-9.8,1.8,-7.9,0.668
0.381,45.801,6.5,-8.6,2.5,-7.6,0.668
0.382,48.001,7,-7.1,3.1,-7.7,0.668
0.383,51.001,7.5,-5.7,3.1,-8.1,0.668
0.384,52.601,7.9,-4.9,2.5,-8.6,0.668
0.385,51.501,8,-5,1.3,-8.8,0.668
0.386,48.201,7.7,-5.8,-0.1,-8.6,0.668
0.387,45.001,7.2,-7,-1.2,-8,0.668
0.388,44.401,6.7,-8.1,-1.6,-7.3,0.668
0.389,46.601,6.3,-8.7,-1.2,-7,0.668
0.39,49.801,6.2,-8.8,-0.4,-7.2,0.68
0.391,51.201,6.3,-8.5,0.6,-7.7,0.68
0.392,49.301,6.4,-8.2,1.4,-8.1,0.68
0.393,45.001,6.4,-7.7,1.8,-8.3,0.68
0.394,41.301,6.2,-7,1.7,-8,0.68
0.395,40.501,6,-6.2,1.2,-7.5,0.68
0.396,42.701,5.8,-5.2,0.5,-7,0.68
0.397,45.801,5.6,-4.4,-0.4,-6.6,0.68
0.398,47.001,5.7,-4,-1.2,-6.3,0.68
0.399,45.001,5.9,-4.1,-1.4,-6,0.68
0.4,41.201,6.3,-4.4,-0.9,-5.5,0.72
0.401,38.401,6.7,-4.4,0,-5,0.72
0.402,38.701,6.8,-4.1,1.2,-4.5,0.72
0.403,42.001,6.5,-3.5,2,-4.3,0.72
0.404,46.101,5.6,-2.9,2,-4.6,0.72
0.405,48.501,4.5,-2.7,1.5,-5.3,0.72
0.406,48.401,3.5,-3.4,0.8,-6.1,0.72
0.407,46.601,3.1,-4.7,0.3,-6.7,0.72
0.408,44.801,3.3,-6.6,0.4,-6.8,0.72
0.409,44.301,4.1,-8.4,0.9,-6.5,0.72
0.41,44.801,5,-9.6,1.5,-5.8,0.579
0.411,45.601,5.7,-10,1.8,-5.2,0.579
0.412,46.001,5.8,-9.7,1.6,-5.1,0.579
0.413,46.101,5.6,-9,1.1,-5.5,0.579
0.414,46.301,5.2,-8.4,0.8,-6.4,0.579
0.415,47.001,4.8,-8.3,0.9,-7.5,0.579
0.416,47.801,4.6,-9,1.3,-8.1,0.579
0.417,47.901,4.3,-10,1.8,-8.2,0.579
0.418,47.101,4,-10.9,2,-7.7,0.579
0.419,46.201,3.8,-11.3,1.9,-6.8,0.579
0.42,46.001,3.9,-10.8,1.4,-5.8,0.822
0.421,47.301,4.5,-9.6,0.8,-5.1,0.822
0.422,49.301,5.6,-8.2,0.5,-4.4,0.822
0.423,50.701,6.9,-7.4,0.6,-3.9,0.822
0.424,50.401,8,-7.5,1,-3.4,0.822
0.425,48.601,8.5,-8.5,1.6,-2.9,0.822
0.426,46.801,8.3,-10,2.1,-2.8,0.822
0.427,46.601,7.7,-11.3,2.3,-3.2,0.822
0.428,48.701,7.1,-11.7,2.2,-4,0.822
0.429,52.001,6.9,-11,1.8,-5.1,0.822
0.43,54.601,7,-9.7,1.1,-6,0.579
0.431,55.001,7.2,-8.1,0.3,-6.5,0.579
0.432,52.801,7.1,-7.1,-0.5,-6.4,0.579
0.433,49.301,6.4,-6.8,-1.1,-6.1,0.579
0.434,46.001,5.3,-7.1,-1.7,-5.8,0.579
0.435,44.301,4.1,-7.4,-1.9,-5.7,0.579
0.436,44.101,3.3,-7.5,-1.9,-5.7,0.579
0.437,44.601,3.2,-7,-1.6,-5.8,0.579
0.438,45.001,3.7,-6.1,-0.9,-5.5,0.579
0.439,44.801,4.6,-5.1,0.1,-4.7,0.579
0.44,44.201,5.6,-4.4,1.2,-3.6,0.668
0.441,43.701,6.3,-4.1,2.3,-2.6,0.668
0.442,43.701,6.7,-4.3,3.1,-1.9,0.668
0.443,44.201,6.7,-4.6,3.5,-1.8,0.668
0.444,44.901,6.7,-4.9,3.4,-2.1,0.668
0.445,45.301,6.8,-4.9,3.1,-2.8,0.668
0.446,45.101,7.1,-4.5,2.6,-3.3,0.668
0.447,44.301,7.8,-3.8,2.1,-3.7,0.668
0.448,43.101,8.6,-3,1.8,-3.6,0.668
0.449,42.001,9.5,-2.5,1.7,-3.3,0.668
0.45,41.501,10.2,-2.2,1.8,-2.6,0.68
0.451,42.001,10.7,-2.4,2.1,-1.8,0.68
0.452,43.301,11.1,-2.7,2.6,-0.9,0.68
0.453,44.701,11.6,-3,3.3,-0.1,0.68
0.454,45.501,12.2,-3,4.2,0.4,0.68
0.455,45.101,12.9,-2.7,5,0.5,0.68
0.456,43.901,13.3,-2.4,5.5,0.2,0.68
0.457,42.401,13,-2.2,5.3,-0.5,0.68
0.458,41.301,12.2,-2.3,4.4,-1.1,0.68
0.459,40.701,10.8,-2.7,3.1,-1.5,0.68
0.46,40.401,9.6,-2.8,1.8,-1.4,0.708
0.461,39.701,8.9,-2.4,1.1,-1.1,0.708
0.462,38.601,8.7,-1.2,1,-0.8,0.708
0.463,37.601,9.1,0.4,1.3,-0.7,0.708
0.464,37.201,9.4,1.8,1.5,-1.3,0.708
0.465,37.701,9.3,2.3,1.2,-2.3,0.708
0.466,38.801,8.6,1.7,0.3,-3.6,0.708
0.467,39.701,7.6,0,-0.8,-4.6,0.708
0.468,40.101,6.7,-2.2,-1.7,-5.1,0.708
0.469,40.301,6.2,-4.3,-2,-5,0.708
0.47,40.901,6.2,-6,-1.9,-4.6,0.579
0.471,42.501,6.4,-7.1,-1.5,-4.3,0.579
0.472,44.601,6.5,-7.8,-1.3,-4.5,0.579
0.473,46.201,6.3,-8.5,-1.5,-5.1,0.579
0.474,45.801,5.7,-9.2,-2.1,-5.9,0.579
